,Roll,Hold,EV
179,R011012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
178,R011021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
177,R011030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
176,R011102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
175,R011111,"[0, 1, 1, 1, 1, 1]",20.0
174,R011120,"[0, 1, 1, 1, 1, 0]",14.325396825396822
173,R011201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
172,R011210,"[0, 1, 1, 1, 1, 0]",14.325396825396822
171,R011300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
170,R012002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
169,R012011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
168,R012020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
167,R012101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
166,R012110,"[0, 1, 1, 1, 1, 0]",14.325396825396822
165,R012200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
164,R013001,"[0, 0, 3, 0, 0, 0]",16.096938775510207
163,R013010,"[0, 0, 3, 0, 0, 0]",16.096938775510207
162,R013100,"[0, 0, 3, 0, 0, 0]",16.096938775510207
161,R014000,"[0, 0, 4, 0, 0, 0]",21.31944444444444
160,R020003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
159,R020012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
158,R020021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
157,R020030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
156,R020102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
155,R020111,"[0, 0, 0, 0, 0, 0]",13.506063360088284
154,R020120,"[0, 0, 0, 0, 0, 0]",13.506063360088284
153,R020201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
152,R020210,"[0, 0, 0, 0, 0, 0]",13.506063360088284
151,R020300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
150,R021002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
149,R021011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
148,R021020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
147,R021101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
146,R021110,"[0, 1, 1, 1, 1, 0]",14.325396825396822
145,R021200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
144,R022001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
143,R022010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
142,R022100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
141,R023000,"[0, 0, 3, 0, 0, 0]",16.096938775510207
140,R030002,"[0, 3, 0, 0, 0, 0]",16.096938775510207
139,R030011,"[0, 3, 0, 0, 0, 0]",16.096938775510207
138,R030020,"[0, 3, 0, 0, 0, 0]",16.096938775510207
137,R030101,"[0, 3, 0, 0, 0, 0]",16.096938775510207
136,R030110,"[0, 3, 0, 0, 0, 0]",16.096938775510207
135,R030200,"[0, 3, 0, 0, 0, 0]",16.096938775510207
134,R031001,"[0, 3, 0, 0, 0, 0]",16.096938775510207
133,R031010,"[0, 3, 0, 0, 0, 0]",16.096938775510207
132,R031100,"[0, 3, 0, 0, 0, 0]",16.096938775510207
131,R032000,"[0, 3, 0, 0, 0, 0]",16.096938775510207
130,R040001,"[0, 4, 0, 0, 0, 0]",21.31944444444444
129,R040010,"[0, 4, 0, 0, 0, 0]",21.31944444444444
128,R040100,"[0, 4, 0, 0, 0, 0]",21.31944444444444
127,R041000,"[0, 4, 0, 0, 0, 0]",21.31944444444444
126,R050000,"[0, 5, 0, 0, 0, 0]",30.0
125,R100004,"[0, 0, 0, 0, 0, 4]",21.319444444444443
124,R100013,"[0, 0, 0, 0, 0, 3]",16.0969387755102
123,R100022,"[0, 0, 0, 0, 0, 0]",13.506063360088284
122,R100031,"[0, 0, 0, 0, 3, 0]",16.0969387755102
121,R100040,"[0, 0, 0, 0, 4, 0]",21.319444444444443
120,R100103,"[0, 0, 0, 0, 0, 3]",16.0969387755102
119,R100112,"[0, 0, 0, 0, 0, 0]",13.506063360088284
118,R100121,"[0, 0, 0, 0, 0, 0]",13.506063360088284
117,R100130,"[0, 0, 0, 0, 3, 0]",16.0969387755102
116,R100202,"[0, 0, 0, 0, 0, 0]",13.506063360088284
115,R100211,"[0, 0, 0, 0, 0, 0]",13.506063360088284
114,R100220,"[0, 0, 0, 0, 0, 0]",13.506063360088284
113,R100301,"[0, 0, 0, 3, 0, 0]",16.0969387755102
112,R100310,"[0, 0, 0, 3, 0, 0]",16.0969387755102
111,R100400,"[0, 0, 0, 4, 0, 0]",21.319444444444443
110,R101003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
109,R101012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
108,R101021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
107,R101030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
106,R101102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
105,R101111,"[0, 0, 0, 0, 0, 0]",13.506063360088284
104,R101120,"[0, 0, 0, 0, 0, 0]",13.506063360088284
103,R101201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
102,R101210,"[0, 0, 0, 0, 0, 0]",13.506063360088284
101,R101300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
100,R102002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
99,R102011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
98,R102020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
97,R102101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
96,R102110,"[0, 0, 0, 0, 0, 0]",13.506063360088284
95,R102200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
94,R103001,"[0, 0, 3, 0, 0, 0]",16.096938775510207
93,R103010,"[0, 0, 3, 0, 0, 0]",16.096938775510207
92,R103100,"[0, 0, 3, 0, 0, 0]",16.096938775510207
91,R104000,"[0, 0, 4, 0, 0, 0]",21.31944444444444
90,R110003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
89,R110012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
88,R110021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
87,R110030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
86,R110102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
85,R110111,"[0, 0, 0, 0, 0, 0]",13.506063360088284
84,R110120,"[0, 0, 0, 0, 0, 0]",13.506063360088284
83,R110201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
82,R110210,"[0, 0, 0, 0, 0, 0]",13.506063360088284
81,R110300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
80,R111002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
79,R111011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
78,R111020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
77,R111101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
76,R111110,"[1, 1, 1, 1, 1, 0]",20.0
75,R111200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
74,R112001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
73,R112010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
72,R112100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
71,R113000,"[0, 0, 3, 0, 0, 0]",16.096938775510207
70,R120002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
69,R120011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
68,R120020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
67,R120101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
66,R120110,"[0, 0, 0, 0, 0, 0]",13.506063360088284
65,R120200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
64,R121001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
63,R121010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
62,R121100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
61,R122000,"[0, 0, 0, 0, 0, 0]",13.506063360088284
60,R130001,"[0, 3, 0, 0, 0, 0]",16.096938775510207
59,R130010,"[0, 3, 0, 0, 0, 0]",16.096938775510207
58,R130100,"[0, 3, 0, 0, 0, 0]",16.096938775510207
57,R131000,"[0, 3, 0, 0, 0, 0]",16.096938775510207
56,R140000,"[0, 4, 0, 0, 0, 0]",21.31944444444444
55,R200003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
54,R200012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
53,R200021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
52,R200030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
51,R200102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
50,R200111,"[0, 0, 0, 0, 0, 0]",13.506063360088284
49,R200120,"[0, 0, 0, 0, 0, 0]",13.506063360088284
48,R200201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
47,R200210,"[0, 0, 0, 0, 0, 0]",13.506063360088284
46,R200300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
45,R201002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
44,R201011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
43,R201020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
42,R201101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
41,R201110,"[0, 0, 0, 0, 0, 0]",13.506063360088284
40,R201200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
39,R202001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
38,R202010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
37,R202100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
36,R203000,"[0, 0, 3, 0, 0, 0]",16.096938775510207
35,R210002,"[0, 0, 0, 0, 0, 0]",13.506063360088284
34,R210011,"[0, 0, 0, 0, 0, 0]",13.506063360088284
33,R210020,"[0, 0, 0, 0, 0, 0]",13.506063360088284
32,R210101,"[0, 0, 0, 0, 0, 0]",13.506063360088284
31,R210110,"[0, 0, 0, 0, 0, 0]",13.506063360088284
30,R210200,"[0, 0, 0, 0, 0, 0]",13.506063360088284
29,R211001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
28,R211010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
27,R211100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
26,R212000,"[0, 0, 0, 0, 0, 0]",13.506063360088284
25,R220001,"[0, 0, 0, 0, 0, 0]",13.506063360088284
24,R220010,"[0, 0, 0, 0, 0, 0]",13.506063360088284
23,R220100,"[0, 0, 0, 0, 0, 0]",13.506063360088284
22,R221000,"[0, 0, 0, 0, 0, 0]",13.506063360088284
21,R230000,"[0, 3, 0, 0, 0, 0]",16.096938775510207
20,R300002,"[3, 0, 0, 0, 0, 0]",16.0969387755102
19,R300011,"[3, 0, 0, 0, 0, 0]",16.0969387755102
18,R300020,"[3, 0, 0, 0, 0, 0]",16.0969387755102
17,R300101,"[3, 0, 0, 0, 0, 0]",16.0969387755102
16,R300110,"[3, 0, 0, 0, 0, 0]",16.0969387755102
15,R300200,"[3, 0, 0, 0, 0, 0]",16.0969387755102
14,R301001,"[3, 0, 0, 0, 0, 0]",16.0969387755102
13,R301010,"[3, 0, 0, 0, 0, 0]",16.0969387755102
12,R301100,"[3, 0, 0, 0, 0, 0]",16.0969387755102
11,R302000,"[3, 0, 0, 0, 0, 0]",16.0969387755102
10,R310001,"[3, 0, 0, 0, 0, 0]",16.0969387755102
9,R310010,"[3, 0, 0, 0, 0, 0]",16.0969387755102
8,R310100,"[3, 0, 0, 0, 0, 0]",16.0969387755102
7,R311000,"[3, 0, 0, 0, 0, 0]",16.0969387755102
6,R320000,"[3, 0, 0, 0, 0, 0]",16.0969387755102
5,R400001,"[4, 0, 0, 0, 0, 0]",21.31944444444444
4,R400010,"[4, 0, 0, 0, 0, 0]",21.31944444444444
3,R400100,"[4, 0, 0, 0, 0, 0]",21.31944444444444
2,R401000,"[4, 0, 0, 0, 0, 0]",21.31944444444444
1,R410000,"[4, 0, 0, 0, 0, 0]",21.31944444444444
0,R500000,"[5, 0, 0, 0, 0, 0]",30.0
