,Roll,Hold,EV
54,R200012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
53,R200021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
52,R200030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
51,R200102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
50,R200111,"[0, 0, 0, 0, 0, 0]",10.744677500629884
49,R200120,"[0, 0, 0, 0, 0, 0]",10.744677500629884
48,R200201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
47,R200210,"[0, 0, 0, 0, 0, 0]",10.744677500629884
46,R200300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
45,R201002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
44,R201011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
43,R201020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
42,R201101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
41,R201110,"[0, 0, 0, 0, 0, 0]",10.744677500629884
40,R201200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
39,R202001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
38,R202010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
37,R202100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
36,R203000,"[0, 0, 3, 0, 0, 0]",14.00793650793651
35,R210002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
34,R210011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
33,R210020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
32,R210101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
31,R210110,"[0, 0, 0, 0, 0, 0]",10.744677500629884
30,R210200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
29,R211001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
28,R211010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
27,R211100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
26,R212000,"[0, 0, 0, 0, 0, 0]",10.744677500629884
25,R220001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
24,R220010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
23,R220100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
22,R221000,"[0, 0, 0, 0, 0, 0]",10.744677500629884
21,R230000,"[0, 3, 0, 0, 0, 0]",14.00793650793651
20,R300002,"[3, 0, 0, 0, 0, 0]",14.007936507936506
19,R300011,"[3, 0, 0, 0, 0, 0]",14.007936507936506
18,R300020,"[3, 0, 0, 0, 0, 0]",14.007936507936506
17,R300101,"[3, 0, 0, 0, 0, 0]",14.007936507936506
16,R300110,"[3, 0, 0, 0, 0, 0]",14.007936507936506
15,R300200,"[3, 0, 0, 0, 0, 0]",14.007936507936506
14,R301001,"[3, 0, 0, 0, 0, 0]",14.007936507936506
13,R301010,"[3, 0, 0, 0, 0, 0]",14.007936507936506
12,R301100,"[3, 0, 0, 0, 0, 0]",14.007936507936506
11,R302000,"[3, 0, 0, 0, 0, 0]",14.007936507936506
10,R310001,"[3, 0, 0, 0, 0, 0]",14.007936507936506
9,R310010,"[3, 0, 0, 0, 0, 0]",14.007936507936506
8,R310100,"[3, 0, 0, 0, 0, 0]",14.007936507936506
7,R311000,"[3, 0, 0, 0, 0, 0]",14.007936507936506
6,R320000,"[3, 0, 0, 0, 0, 0]",14.007936507936506
5,R400001,"[4, 0, 0, 0, 0, 0]",19.583333333333332
4,R400010,"[4, 0, 0, 0, 0, 0]",19.583333333333332
3,R400100,"[4, 0, 0, 0, 0, 0]",19.583333333333332
2,R401000,"[4, 0, 0, 0, 0, 0]",19.583333333333332
1,R410000,"[4, 0, 0, 0, 0, 0]",19.583333333333332
0,R500000,"[5, 0, 0, 0, 0, 0]",30.0
