,Roll,Hold,EV
206,R002300,"[0, 0, 2, 3, 0, 0]",12.0
205,R003002,"[0, 0, 3, 0, 0, 2]",12.0
204,R003011,"[0, 0, 3, 0, 0, 0]",11.666666666666666
203,R003020,"[0, 0, 3, 0, 2, 0]",12.0
202,R003101,"[0, 0, 3, 0, 0, 0]",11.666666666666666
201,R003110,"[0, 0, 3, 0, 0, 0]",11.666666666666666
200,R003200,"[0, 0, 3, 2, 0, 0]",12.0
199,R004001,"[0, 0, 4, 0, 0, 0]",17.5
198,R004010,"[0, 0, 4, 0, 0, 0]",17.5
197,R004100,"[0, 0, 4, 0, 0, 0]",17.5
196,R005000,"[0, 0, 5, 0, 0, 0]",30.0
195,R010004,"[0, 0, 0, 0, 0, 4]",17.5
194,R010013,"[0, 0, 0, 0, 0, 3]",11.666666666666666
193,R010022,"[0, 0, 0, 0, 2, 2]",7.333333333333333
192,R010031,"[0, 0, 0, 0, 3, 0]",11.666666666666666
191,R010040,"[0, 0, 0, 0, 4, 0]",17.5
190,R010103,"[0, 0, 0, 0, 0, 3]",11.666666666666666
189,R010112,"[0, 0, 0, 0, 0, 2]",7.232142857142857
188,R010121,"[0, 0, 0, 0, 2, 0]",7.232142857142857
187,R010130,"[0, 0, 0, 0, 3, 0]",11.666666666666666
186,R010202,"[0, 0, 0, 2, 0, 2]",7.333333333333333
185,R010211,"[0, 0, 0, 2, 0, 0]",7.232142857142857
184,R010220,"[0, 0, 0, 2, 2, 0]",7.333333333333333
183,R010301,"[0, 0, 0, 3, 0, 0]",11.666666666666666
182,R010310,"[0, 0, 0, 3, 0, 0]",11.666666666666666
181,R010400,"[0, 0, 0, 4, 0, 0]",17.5
180,R011003,"[0, 0, 0, 0, 0, 3]",11.666666666666666
179,R011012,"[0, 0, 0, 0, 0, 2]",7.232142857142857
178,R011021,"[0, 0, 0, 0, 2, 0]",7.232142857142857
177,R011030,"[0, 0, 0, 0, 3, 0]",11.666666666666666
176,R011102,"[0, 0, 0, 0, 0, 2]",7.232142857142857
175,R011111,"[0, 1, 1, 1, 1, 1]",20.0
174,R011120,"[0, 0, 0, 0, 2, 0]",7.232142857142857
173,R011201,"[0, 0, 0, 2, 0, 0]",7.232142857142857
172,R011210,"[0, 0, 0, 2, 0, 0]",7.232142857142857
171,R011300,"[0, 0, 0, 3, 0, 0]",11.666666666666666
170,R012002,"[0, 0, 2, 0, 0, 2]",7.333333333333333
169,R012011,"[0, 0, 2, 0, 0, 0]",7.232142857142857
168,R012020,"[0, 0, 2, 0, 2, 0]",7.333333333333333
167,R012101,"[0, 0, 2, 0, 0, 0]",7.232142857142857
166,R012110,"[0, 0, 2, 0, 0, 0]",7.232142857142857
165,R012200,"[0, 0, 2, 2, 0, 0]",7.333333333333333
164,R013001,"[0, 0, 3, 0, 0, 0]",11.666666666666666
163,R013010,"[0, 0, 3, 0, 0, 0]",11.666666666666666
162,R013100,"[0, 0, 3, 0, 0, 0]",11.666666666666666
161,R014000,"[0, 0, 4, 0, 0, 0]",17.5
160,R020003,"[0, 2, 0, 0, 0, 3]",12.0
159,R020012,"[0, 2, 0, 0, 0, 2]",7.333333333333333
158,R020021,"[0, 2, 0, 0, 2, 0]",7.333333333333333
157,R020030,"[0, 2, 0, 0, 3, 0]",12.0
156,R020102,"[0, 2, 0, 0, 0, 2]",7.333333333333333
155,R020111,"[0, 2, 0, 0, 0, 0]",7.232142857142857
154,R020120,"[0, 2, 0, 0, 2, 0]",7.333333333333333
153,R020201,"[0, 2, 0, 2, 0, 0]",7.333333333333333
152,R020210,"[0, 2, 0, 2, 0, 0]",7.333333333333333
151,R020300,"[0, 2, 0, 3, 0, 0]",12.0
150,R021002,"[0, 2, 0, 0, 0, 2]",7.333333333333333
149,R021011,"[0, 2, 0, 0, 0, 0]",7.232142857142857
148,R021020,"[0, 2, 0, 0, 2, 0]",7.333333333333333
147,R021101,"[0, 2, 0, 0, 0, 0]",7.232142857142857
146,R021110,"[0, 2, 0, 0, 0, 0]",7.232142857142857
145,R021200,"[0, 2, 0, 2, 0, 0]",7.333333333333333
144,R022001,"[0, 2, 2, 0, 0, 0]",7.333333333333333
143,R022010,"[0, 2, 2, 0, 0, 0]",7.333333333333333
142,R022100,"[0, 2, 2, 0, 0, 0]",7.333333333333333
141,R023000,"[0, 2, 3, 0, 0, 0]",12.0
140,R030002,"[0, 3, 0, 0, 0, 2]",12.0
139,R030011,"[0, 3, 0, 0, 0, 0]",11.666666666666666
138,R030020,"[0, 3, 0, 0, 2, 0]",12.0
137,R030101,"[0, 3, 0, 0, 0, 0]",11.666666666666666
136,R030110,"[0, 3, 0, 0, 0, 0]",11.666666666666666
135,R030200,"[0, 3, 0, 2, 0, 0]",12.0
134,R031001,"[0, 3, 0, 0, 0, 0]",11.666666666666666
133,R031010,"[0, 3, 0, 0, 0, 0]",11.666666666666666
132,R031100,"[0, 3, 0, 0, 0, 0]",11.666666666666666
131,R032000,"[0, 3, 2, 0, 0, 0]",12.0
130,R040001,"[0, 4, 0, 0, 0, 0]",17.5
129,R040010,"[0, 4, 0, 0, 0, 0]",17.5
128,R040100,"[0, 4, 0, 0, 0, 0]",17.5
127,R041000,"[0, 4, 0, 0, 0, 0]",17.5
126,R050000,"[0, 5, 0, 0, 0, 0]",30.0
125,R100004,"[0, 0, 0, 0, 0, 4]",17.5
124,R100013,"[0, 0, 0, 0, 0, 3]",11.666666666666666
123,R100022,"[0, 0, 0, 0, 2, 2]",7.333333333333333
122,R100031,"[0, 0, 0, 0, 3, 0]",11.666666666666666
121,R100040,"[0, 0, 0, 0, 4, 0]",17.5
120,R100103,"[0, 0, 0, 0, 0, 3]",11.666666666666666
119,R100112,"[0, 0, 0, 0, 0, 2]",7.232142857142857
118,R100121,"[0, 0, 0, 0, 2, 0]",7.232142857142857
117,R100130,"[0, 0, 0, 0, 3, 0]",11.666666666666666
116,R100202,"[0, 0, 0, 2, 0, 2]",7.333333333333333
115,R100211,"[0, 0, 0, 2, 0, 0]",7.232142857142857
114,R100220,"[0, 0, 0, 2, 2, 0]",7.333333333333333
113,R100301,"[0, 0, 0, 3, 0, 0]",11.666666666666666
112,R100310,"[0, 0, 0, 3, 0, 0]",11.666666666666666
111,R100400,"[0, 0, 0, 4, 0, 0]",17.5
110,R101003,"[0, 0, 0, 0, 0, 3]",11.666666666666666
109,R101012,"[0, 0, 0, 0, 0, 2]",7.232142857142857
108,R101021,"[0, 0, 0, 0, 2, 0]",7.232142857142857
107,R101030,"[0, 0, 0, 0, 3, 0]",11.666666666666666
106,R101102,"[0, 0, 0, 0, 0, 2]",7.232142857142857
105,R101111,"[0, 0, 0, 0, 0, 0]",7.182539682539683
104,R101120,"[0, 0, 0, 0, 2, 0]",7.232142857142857
103,R101201,"[0, 0, 0, 2, 0, 0]",7.232142857142857
102,R101210,"[0, 0, 0, 2, 0, 0]",7.232142857142857
101,R101300,"[0, 0, 0, 3, 0, 0]",11.666666666666666
100,R102002,"[0, 0, 2, 0, 0, 2]",7.333333333333333
99,R102011,"[0, 0, 2, 0, 0, 0]",7.232142857142857
98,R102020,"[0, 0, 2, 0, 2, 0]",7.333333333333333
97,R102101,"[0, 0, 2, 0, 0, 0]",7.232142857142857
96,R102110,"[0, 0, 2, 0, 0, 0]",7.232142857142857
95,R102200,"[0, 0, 2, 2, 0, 0]",7.333333333333333
94,R103001,"[0, 0, 3, 0, 0, 0]",11.666666666666666
93,R103010,"[0, 0, 3, 0, 0, 0]",11.666666666666666
92,R103100,"[0, 0, 3, 0, 0, 0]",11.666666666666666
91,R104000,"[0, 0, 4, 0, 0, 0]",17.5
90,R110003,"[0, 0, 0, 0, 0, 3]",11.666666666666666
89,R110012,"[0, 0, 0, 0, 0, 2]",7.232142857142857
88,R110021,"[0, 0, 0, 0, 2, 0]",7.232142857142857
87,R110030,"[0, 0, 0, 0, 3, 0]",11.666666666666666
86,R110102,"[0, 0, 0, 0, 0, 2]",7.232142857142857
85,R110111,"[0, 0, 0, 0, 0, 0]",7.182539682539683
84,R110120,"[0, 0, 0, 0, 2, 0]",7.232142857142857
83,R110201,"[0, 0, 0, 2, 0, 0]",7.232142857142857
82,R110210,"[0, 0, 0, 2, 0, 0]",7.232142857142857
81,R110300,"[0, 0, 0, 3, 0, 0]",11.666666666666666
80,R111002,"[0, 0, 0, 0, 0, 2]",7.232142857142857
79,R111011,"[0, 0, 0, 0, 0, 0]",7.182539682539683
78,R111020,"[0, 0, 0, 0, 2, 0]",7.232142857142857
77,R111101,"[0, 0, 0, 0, 0, 0]",7.182539682539683
76,R111110,"[1, 1, 1, 1, 1, 0]",20.0
75,R111200,"[0, 0, 0, 2, 0, 0]",7.232142857142857
74,R112001,"[0, 0, 2, 0, 0, 0]",7.232142857142857
73,R112010,"[0, 0, 2, 0, 0, 0]",7.232142857142857
72,R112100,"[0, 0, 2, 0, 0, 0]",7.232142857142857
71,R113000,"[0, 0, 3, 0, 0, 0]",11.666666666666666
70,R120002,"[0, 2, 0, 0, 0, 2]",7.333333333333333
69,R120011,"[0, 2, 0, 0, 0, 0]",7.232142857142857
68,R120020,"[0, 2, 0, 0, 2, 0]",7.333333333333333
67,R120101,"[0, 2, 0, 0, 0, 0]",7.232142857142857
66,R120110,"[0, 2, 0, 0, 0, 0]",7.232142857142857
65,R120200,"[0, 2, 0, 2, 0, 0]",7.333333333333333
64,R121001,"[0, 2, 0, 0, 0, 0]",7.232142857142857
63,R121010,"[0, 2, 0, 0, 0, 0]",7.232142857142857
62,R121100,"[0, 2, 0, 0, 0, 0]",7.232142857142857
61,R122000,"[0, 2, 2, 0, 0, 0]",7.333333333333333
60,R130001,"[0, 3, 0, 0, 0, 0]",11.666666666666666
59,R130010,"[0, 3, 0, 0, 0, 0]",11.666666666666666
58,R130100,"[0, 3, 0, 0, 0, 0]",11.666666666666666
57,R131000,"[0, 3, 0, 0, 0, 0]",11.666666666666666
56,R140000,"[0, 4, 0, 0, 0, 0]",17.5
55,R200003,"[2, 0, 0, 0, 0, 3]",12.0
54,R200012,"[2, 0, 0, 0, 0, 2]",7.333333333333333
53,R200021,"[2, 0, 0, 0, 2, 0]",7.333333333333333
52,R200030,"[2, 0, 0, 0, 3, 0]",12.0
51,R200102,"[2, 0, 0, 0, 0, 2]",7.333333333333333
50,R200111,"[2, 0, 0, 0, 0, 0]",7.232142857142857
49,R200120,"[2, 0, 0, 0, 2, 0]",7.333333333333333
48,R200201,"[2, 0, 0, 2, 0, 0]",7.333333333333333
47,R200210,"[2, 0, 0, 2, 0, 0]",7.333333333333333
46,R200300,"[2, 0, 0, 3, 0, 0]",12.0
45,R201002,"[2, 0, 0, 0, 0, 2]",7.333333333333333
44,R201011,"[2, 0, 0, 0, 0, 0]",7.232142857142857
43,R201020,"[2, 0, 0, 0, 2, 0]",7.333333333333333
42,R201101,"[2, 0, 0, 0, 0, 0]",7.232142857142857
41,R201110,"[2, 0, 0, 0, 0, 0]",7.232142857142857
40,R201200,"[2, 0, 0, 2, 0, 0]",7.333333333333333
39,R202001,"[2, 0, 2, 0, 0, 0]",7.333333333333333
38,R202010,"[2, 0, 2, 0, 0, 0]",7.333333333333333
37,R202100,"[2, 0, 2, 0, 0, 0]",7.333333333333333
36,R203000,"[2, 0, 3, 0, 0, 0]",12.0
35,R210002,"[2, 0, 0, 0, 0, 2]",7.333333333333333
34,R210011,"[2, 0, 0, 0, 0, 0]",7.232142857142857
33,R210020,"[2, 0, 0, 0, 2, 0]",7.333333333333333
32,R210101,"[2, 0, 0, 0, 0, 0]",7.232142857142857
31,R210110,"[2, 0, 0, 0, 0, 0]",7.232142857142857
30,R210200,"[2, 0, 0, 2, 0, 0]",7.333333333333333
29,R211001,"[2, 0, 0, 0, 0, 0]",7.232142857142857
28,R211010,"[2, 0, 0, 0, 0, 0]",7.232142857142857
27,R211100,"[2, 0, 0, 0, 0, 0]",7.232142857142857
26,R212000,"[2, 0, 2, 0, 0, 0]",7.333333333333333
25,R220001,"[2, 2, 0, 0, 0, 0]",7.333333333333333
24,R220010,"[2, 2, 0, 0, 0, 0]",7.333333333333333
23,R220100,"[2, 2, 0, 0, 0, 0]",7.333333333333333
22,R221000,"[2, 2, 0, 0, 0, 0]",7.333333333333333
21,R230000,"[2, 3, 0, 0, 0, 0]",12.0
20,R300002,"[3, 0, 0, 0, 0, 2]",12.0
19,R300011,"[3, 0, 0, 0, 0, 0]",11.666666666666666
18,R300020,"[3, 0, 0, 0, 2, 0]",12.0
17,R300101,"[3, 0, 0, 0, 0, 0]",11.666666666666666
16,R300110,"[3, 0, 0, 0, 0, 0]",11.666666666666666
15,R300200,"[3, 0, 0, 2, 0, 0]",12.0
14,R301001,"[3, 0, 0, 0, 0, 0]",11.666666666666666
13,R301010,"[3, 0, 0, 0, 0, 0]",11.666666666666666
12,R301100,"[3, 0, 0, 0, 0, 0]",11.666666666666666
11,R302000,"[3, 0, 2, 0, 0, 0]",12.0
10,R310001,"[3, 0, 0, 0, 0, 0]",11.666666666666666
9,R310010,"[3, 0, 0, 0, 0, 0]",11.666666666666666
8,R310100,"[3, 0, 0, 0, 0, 0]",11.666666666666666
7,R311000,"[3, 0, 0, 0, 0, 0]",11.666666666666666
6,R320000,"[3, 2, 0, 0, 0, 0]",12.0
5,R400001,"[4, 0, 0, 0, 0, 0]",17.5
4,R400010,"[4, 0, 0, 0, 0, 0]",17.5
3,R400100,"[4, 0, 0, 0, 0, 0]",17.5
2,R401000,"[4, 0, 0, 0, 0, 0]",17.5
1,R410000,"[4, 0, 0, 0, 0, 0]",17.5
0,R500000,"[5, 0, 0, 0, 0, 0]",30.0
